indicator_id,name,channel,signal_role,typical_lead,read_as,frequency,unit,series_ref,source_name,source_url,access,why_it_matters,collection
BIO_VC_DEALS_HSBC_HC_FY,"Biopharma venture deals (count), HSBC Innovation Banking (all healthcare) [annual]",Biotech capital,leading,2-4 qtrs,higher = bullish,annual,count,Publisher reports; see source_url per row,HSBC Innovation Banking (all healthcare),https://www.hsbcinnovationbanking.com/us/en/resources,free,Deal count tracks the number of funded companies (labs) better than dollars skewed by megarounds.,curated
BIO_VC_DEALS_PITCHBOOK,"Biopharma venture deals (count), PitchBook [quarterly]",Biotech capital,leading,2-4 qtrs,higher = bullish,quarterly,count,Publisher reports; see source_url per row,PitchBook,https://pitchbook.com/news/reports,paid (headlines free),Deal count tracks the number of funded companies (labs) better than dollars skewed by megarounds.,curated
BIO_VC_DEALS_PITCHBOOK_FY,"Biopharma venture deals (count), PitchBook [annual]",Biotech capital,leading,2-4 qtrs,higher = bullish,annual,count,Publisher reports; see source_url per row,PitchBook,https://pitchbook.com/news/reports,paid (headlines free),Deal count tracks the number of funded companies (labs) better than dollars skewed by megarounds.,curated
BIO_VC_EARLYSTAGE_MEDIAN_PITCHBOOK_FY,"Median early-stage biopharma VC deal size, PitchBook [annual]",Biotech capital,context,n/a,context,annual,USD_mn,Publisher reports; see source_url per row,PitchBook,https://pitchbook.com/news/reports,paid (headlines free),Round size per company.,curated
BIO_VC_EARLYSTAGE_SHARE_PITCHBOOK_FY,"Early-stage share of biopharma VC dollars, PitchBook [annual]",Biotech capital,leading,3-6 qtrs,higher = bullish,annual,pct,Publisher reports; see source_url per row,PitchBook,https://pitchbook.com/news/reports,paid (headlines free),As above.,curated
BIO_VC_SEED_DEAL_SHARE_PITCHBOOK,"Seed share of biopharma VC deals, PitchBook [quarterly]",Biotech capital,leading,3-6 qtrs,higher = bullish,quarterly,pct,Publisher reports; see source_url per row,PitchBook,https://pitchbook.com/news/reports,paid (headlines free),Seed/early companies are the most preclinical-heavy spenders per dollar.,curated
BIO_VC_USD_BPDIVE_H,"Biopharma venture funding ($), BioPharma Dive [half-year]",Biotech capital,leading,2-4 qtrs,higher = bullish,half-year,USD_bn,Publisher reports; see source_url per row,BioPharma Dive,https://www.biopharmadive.com/,free,Private rounds fund hiring and lab set-up; the classic 2-4 quarter lead into biotech tools orders.,curated
BIO_VC_USD_DEALFORMA,"Biopharma venture funding ($), DealForma (global therapeutics & platforms) [quarterly]",Biotech capital,leading,2-4 qtrs,higher = bullish,quarterly,USD_bn,Publisher reports; see source_url per row,DealForma (global therapeutics & platforms),https://dealforma.com/,free summaries,Private rounds fund hiring and lab set-up; the classic 2-4 quarter lead into biotech tools orders.,curated
BIO_VC_USD_DEALFORMA_H,"Biopharma venture funding ($), DealForma (global therapeutics & platforms) [half-year]",Biotech capital,leading,2-4 qtrs,higher = bullish,half-year,USD_bn,Publisher reports; see source_url per row,DealForma (global therapeutics & platforms),https://dealforma.com/,free summaries,Private rounds fund hiring and lab set-up; the classic 2-4 quarter lead into biotech tools orders.,curated
BIO_VC_USD_HSBC,"Biopharma venture funding ($), HSBC Innovation Banking [quarterly]",Biotech capital,leading,2-4 qtrs,higher = bullish,quarterly,USD_bn,Publisher reports; see source_url per row,HSBC Innovation Banking,https://www.hsbcinnovationbanking.com/us/en/resources,free,Private rounds fund hiring and lab set-up; the classic 2-4 quarter lead into biotech tools orders.,curated
BIO_VC_USD_HSBC_FY,"Biopharma venture funding ($), HSBC Innovation Banking [annual]",Biotech capital,leading,2-4 qtrs,higher = bullish,annual,USD_bn,Publisher reports; see source_url per row,HSBC Innovation Banking,https://www.hsbcinnovationbanking.com/us/en/resources,free,Private rounds fund hiring and lab set-up; the classic 2-4 quarter lead into biotech tools orders.,curated
BIO_VC_USD_HSBC_H,"Biopharma venture funding ($), HSBC Innovation Banking [half-year]",Biotech capital,leading,2-4 qtrs,higher = bullish,half-year,USD_bn,Publisher reports; see source_url per row,HSBC Innovation Banking,https://www.hsbcinnovationbanking.com/us/en/resources,free,Private rounds fund hiring and lab set-up; the classic 2-4 quarter lead into biotech tools orders.,curated
BIO_VC_USD_HSBC_HC_FCST,"Biopharma venture funding ($), HSBC Innovation Banking (all healthcare) [forecast]",Biotech capital,context,2-4 qtrs,context (forecast),forecast,USD_bn,Publisher reports; see source_url per row,HSBC Innovation Banking (all healthcare),https://www.hsbcinnovationbanking.com/us/en/resources,free,Private rounds fund hiring and lab set-up; the classic 2-4 quarter lead into biotech tools orders.,curated
BIO_VC_USD_HSBC_HC_FY,"Biopharma venture funding ($), HSBC Innovation Banking (all healthcare) [annual]",Biotech capital,leading,2-4 qtrs,higher = bullish,annual,USD_bn,Publisher reports; see source_url per row,HSBC Innovation Banking (all healthcare),https://www.hsbcinnovationbanking.com/us/en/resources,free,Private rounds fund hiring and lab set-up; the classic 2-4 quarter lead into biotech tools orders.,curated
BIO_VC_USD_PITCHBOOK,"Biopharma venture funding ($), PitchBook [quarterly]",Biotech capital,leading,2-4 qtrs,higher = bullish,quarterly,USD_bn,Publisher reports; see source_url per row,PitchBook,https://pitchbook.com/news/reports,paid (headlines free),Private rounds fund hiring and lab set-up; the classic 2-4 quarter lead into biotech tools orders.,curated
BIO_VC_USD_PITCHBOOK_FY,"Biopharma venture funding ($), PitchBook [annual]",Biotech capital,leading,2-4 qtrs,higher = bullish,annual,USD_bn,Publisher reports; see source_url per row,PitchBook,https://pitchbook.com/news/reports,paid (headlines free),Private rounds fund hiring and lab set-up; the classic 2-4 quarter lead into biotech tools orders.,curated
BIO_VC_USD_SYNBIOBETA,"Biopharma venture funding ($), SynBioBeta (broad biotech; low confidence, not comparable) [quarterly]",Biotech capital,leading,2-4 qtrs,higher = bullish,quarterly,USD_bn,Publisher reports; see source_url per row,"SynBioBeta (broad biotech; low confidence, not comparable)",https://www.synbiobeta.com/,free,Private rounds fund hiring and lab set-up; the classic 2-4 quarter lead into biotech tools orders.,curated
BIO_XBI_LEVEL,XBI closing price (StockAnalysis) [daily snapshot],Biotech capital,leading,1-3 qtrs,higher = bullish,daily snapshot,price_usd,Publisher reports; see source_url per row,StockAnalysis,https://stockanalysis.com/etf/xbi/,free,As above.,curated
BIO_XBI_REF_LEVEL,"XBI reference levels (52-week high/low, 2021 high) (StockAnalysis) [quarterly]",Biotech capital,context,n/a,context,quarterly,price_usd,Publisher reports; see source_url per row,StockAnalysis,https://stockanalysis.com/etf/xbi/,free,Context for the current level.,curated
BIO_XBI_RETURN_FY,XBI (S&P Biotech ETF) return (FinanceCharts / YCharts / StockAnalysis) [annual],Biotech capital,leading,1-3 qtrs,higher = bullish,annual,pct,Publisher reports; see source_url per row,FinanceCharts / YCharts / StockAnalysis,https://www.ssga.com/us/en/intermediary/etfs/spdr-sp-biotech-etf-xbi,free,"Biotech equity prices lead financing windows (follow-ons, IPOs) by about a quarter.",curated
BIO_XBI_RETURN_TTM,XBI (S&P Biotech ETF) return (FinanceCharts / YCharts / StockAnalysis) [trailing 12 months],Biotech capital,leading,1-3 qtrs,higher = bullish,trailing 12 months,pct,Publisher reports; see source_url per row,FinanceCharts / YCharts / StockAnalysis,https://www.ssga.com/us/en/intermediary/etfs/spdr-sp-biotech-etf-xbi,free,"Biotech equity prices lead financing windows (follow-ons, IPOs) by about a quarter.",curated
BIO_XBI_RETURN_YTD,XBI (S&P Biotech ETF) return (FinanceCharts / YCharts / StockAnalysis) [year to date],Biotech capital,leading,1-3 qtrs,higher = bullish,year to date,pct,Publisher reports; see source_url per row,FinanceCharts / YCharts / StockAnalysis,https://www.ssga.com/us/en/intermediary/etfs/spdr-sp-biotech-etf-xbi,free,"Biotech equity prices lead financing windows (follow-ons, IPOs) by about a quarter.",curated
BIO_FORMD_N,SEC Form D new notices: US biotech & pharma issuers (count),Biotech capital,leading,2-4 qtrs,higher = bullish,quarterly,count,"SEC Form D data sets: industryGroupType in {Biotechnology, Pharmaceuticals}",SEC Form D data sets,https://www.sec.gov/data-research/sec-markets-data/form-d-data-sets,free,"Free, complete proxy for private biotech rounds (VC databases are paywalled).",auto
BIO_FORMD_USD,SEC Form D new notices: US biotech & pharma issuers (amount sold),Biotech capital,leading,2-4 qtrs,higher = bullish,quarterly,USD_bn,SEC Form D data sets: totalAmountSold,SEC Form D data sets,https://www.sec.gov/data-research/sec-markets-data/form-d-data-sets,free,"Dollars raised privately; lumpy, so read it as a 4-quarter sum.",auto
PHARMA_RD_PHRMA,PhRMA member company R&D investment,Pharma R&D,leading,2-4 qtrs,higher = bullish,annual,USD_bn,PhRMA annual membership survey,PhRMA,https://phrma.org/,free,Industry-wide R&D budget. GAP: not yet collected; quarterly company-level R&D comes from auto PHARMA_RD_*_Q.,curated
PHARMA_US_INVEST_PLEDGES,Big-pharma US manufacturing and R&D investment pledges (2025-26),Pharma R&D,structural,4-12 qtrs,higher = bullish,event,USD_bn,Company announcements,Company press releases,https://phrma.org/,free,"Tariff-driven onshoring; mostly bioprocess and manufacturing capex, with some new US R&D sites. GAP: not yet collected.",curated
PHARMA_RD_ABBV_Q,ABBV quarterly GAAP R&D expense (XBRL),Pharma R&D,leading,2-4 qtrs,higher = bullish,quarterly,USD_mn,SEC XBRL companyconcept us-gaap/ResearchAndDevelopmentExpense,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,Big-pharma R&D budgets fund internal discovery labs and outsourced preclinical work; includes lumpy acquired IPR&D for some filers.,auto
PHARMA_RD_AMGN_Q,AMGN quarterly GAAP R&D expense (XBRL),Pharma R&D,leading,2-4 qtrs,higher = bullish,quarterly,USD_mn,SEC XBRL companyconcept us-gaap/ResearchAndDevelopmentExpense,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,Big-pharma R&D budgets fund internal discovery labs and outsourced preclinical work; includes lumpy acquired IPR&D for some filers.,auto
PHARMA_RD_BMY_Q,BMY quarterly GAAP R&D expense (XBRL),Pharma R&D,leading,2-4 qtrs,higher = bullish,quarterly,USD_mn,SEC XBRL companyconcept us-gaap/ResearchAndDevelopmentExpense,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,Big-pharma R&D budgets fund internal discovery labs and outsourced preclinical work; includes lumpy acquired IPR&D for some filers.,auto
PHARMA_RD_GILD_Q,GILD quarterly GAAP R&D expense (XBRL),Pharma R&D,leading,2-4 qtrs,higher = bullish,quarterly,USD_mn,SEC XBRL companyconcept us-gaap/ResearchAndDevelopmentExpense,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,Big-pharma R&D budgets fund internal discovery labs and outsourced preclinical work; includes lumpy acquired IPR&D for some filers.,auto
PHARMA_RD_JNJ_Q,JNJ quarterly GAAP R&D expense (XBRL),Pharma R&D,leading,2-4 qtrs,higher = bullish,quarterly,USD_mn,SEC XBRL companyconcept us-gaap/ResearchAndDevelopmentExpense,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,Big-pharma R&D budgets fund internal discovery labs and outsourced preclinical work; includes lumpy acquired IPR&D for some filers.,auto
PHARMA_RD_LLY_Q,LLY quarterly GAAP R&D expense (XBRL),Pharma R&D,leading,2-4 qtrs,higher = bullish,quarterly,USD_mn,SEC XBRL companyconcept us-gaap/ResearchAndDevelopmentExpense,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,Big-pharma R&D budgets fund internal discovery labs and outsourced preclinical work; includes lumpy acquired IPR&D for some filers.,auto
PHARMA_RD_MRK_Q,MRK quarterly GAAP R&D expense (XBRL),Pharma R&D,leading,2-4 qtrs,higher = bullish,quarterly,USD_mn,SEC XBRL companyconcept us-gaap/ResearchAndDevelopmentExpense,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,Big-pharma R&D budgets fund internal discovery labs and outsourced preclinical work; includes lumpy acquired IPR&D for some filers.,auto
PHARMA_RD_PFE_Q,PFE quarterly GAAP R&D expense (XBRL),Pharma R&D,leading,2-4 qtrs,higher = bullish,quarterly,USD_mn,SEC XBRL companyconcept us-gaap/ResearchAndDevelopmentExpense,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,Big-pharma R&D budgets fund internal discovery labs and outsourced preclinical work; includes lumpy acquired IPR&D for some filers.,auto
PHARMA_RD_REGN_Q,REGN quarterly GAAP R&D expense (XBRL),Pharma R&D,leading,2-4 qtrs,higher = bullish,quarterly,USD_mn,SEC XBRL companyconcept us-gaap/ResearchAndDevelopmentExpense,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,Big-pharma R&D budgets fund internal discovery labs and outsourced preclinical work; includes lumpy acquired IPR&D for some filers.,auto
PHARMA_RD_TOP10_Q_YOY,"Top-10 US pharma R&D expense, y/y growth (summed)",Pharma R&D,leading,2-4 qtrs,higher = bullish,quarterly,pct,derived from PHARMA_RD_*_Q,SEC EDGAR XBRL API (derived),https://www.sec.gov/edgar/sec-api-documentation,free,One-number read on big-pharma R&D budget momentum.,auto
PHARMA_RD_VRTX_Q,VRTX quarterly GAAP R&D expense (XBRL),Pharma R&D,leading,2-4 qtrs,higher = bullish,quarterly,USD_mn,SEC XBRL companyconcept us-gaap/ResearchAndDevelopmentExpense,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,Big-pharma R&D budgets fund internal discovery labs and outsourced preclinical work; includes lumpy acquired IPR&D for some filers.,auto
CRO_COMMENTARY,"Preclinical CRO demand commentary (proposals, cancellations, client mix)",Preclinical CRO,leading,1-3 qtrs,context,quarterly,text,Earnings calls and conferences,Charles River Laboratories,https://ir.criver.com/,free,Proposal volume and cancellation trends lead bookings.,curated
CRO_CRL_DSA_BACKLOG,Charles River DSA backlog,Preclinical CRO,leading,1-4 qtrs,higher = bullish,quarterly,USD_bn,CRL earnings releases and calls,Charles River Laboratories,https://ir.criver.com/,free,"Committed preclinical work ahead; drives CRO consumption of research models, reagents and instruments.",curated
CRO_CRL_DSA_BTB,Charles River DSA net book-to-bill,Preclinical CRO,leading,2-4 qtrs,higher = bullish (>1 = backlog growing),quarterly,ratio,CRL earnings releases and calls,Charles River Laboratories,https://ir.criver.com/,free,The cleanest direct read on outsourced preclinical (discovery and safety assessment) demand from pharma and biotech.,curated
CRO_CRL_DSA_NET_BOOKINGS,Charles River DSA net bookings,Preclinical CRO,leading,2-4 qtrs,higher = bullish,quarterly,USD_mn,CRL earnings calls,Charles River Laboratories,https://ir.criver.com/,free,New preclinical orders net of cancellations.,curated
CRO_CRL_DSA_ORGANIC,Charles River DSA organic revenue growth y/y,Preclinical CRO,coincident,0,higher = bullish,quarterly,pct,CRL earnings releases,Charles River Laboratories,https://ir.criver.com/,free,Preclinical study volume and price now.,curated
CRO_CRL_DSA_ORGANIC_FY,"Charles River DSA organic revenue growth, full year",Preclinical CRO,coincident,0,higher = bullish,annual,pct,CRL earnings releases,Charles River Laboratories,https://ir.criver.com/,free,Annual version.,curated
CRO_CRL_GUIDANCE,Charles River full-year organic growth guidance,Preclinical CRO,leading,0-3 qtrs,higher = bullish,event (quarterly updates),pct,CRL earnings releases,Charles River Laboratories,https://ir.criver.com/,free,Management's forward view; value is the range midpoint and the latest update is listed first.,curated
CRO_CRL_RMS_ORGANIC,Charles River Research Models & Services organic growth y/y,Preclinical CRO,coincident,0,higher = bullish,quarterly,pct,CRL earnings releases,Charles River Laboratories,https://ir.criver.com/,free,"Research-model sales (rodents, NHPs) are themselves preclinical picks and shovels; academic-heavy in North America.",curated
CRO_CRL_TOTAL_ORGANIC,Charles River total organic revenue growth y/y,Preclinical CRO,coincident,0,higher = bullish,quarterly,pct,CRL earnings releases,Charles River Laboratories,https://ir.criver.com/,free,Company-wide preclinical services and products.,curated
CRO_CRL_TOTAL_ORGANIC_FY,"Charles River total organic revenue growth, full year",Preclinical CRO,coincident,0,higher = bullish,annual,pct,CRL earnings releases,Charles River Laboratories,https://ir.criver.com/,free,Annual version.,curated
CRO_INOTIV_BTB,Inotiv DSA book-to-bill,Preclinical CRO,leading,2-4 qtrs,higher = bullish,quarterly,ratio,Inotiv earnings releases,Inotiv,https://ir.inotiv.com/,free,"Smaller, US-centric preclinical CRO; a second opinion on CRL. GAP: not yet collected.",curated
TOOLS_AVTR_LAB,Avantor laboratory segment organic growth y/y,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Avantor,https://ir.avantorsciences.com/,free,Lab products and consumables. GAP: not yet collected.,curated
TOOLS_A_ACADGOV,Agilent academic & government end-market growth,Tools vendors,coincident,0 (leads the vendor's next guide),higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Agilent,https://www.investor.agilent.com/,free,Vendor-side read on NIH/NSF-funded demand. Mostly global and often qualitative; see value_text and notes.,curated
TOOLS_A_BTB,Agilent instrument book-to-bill / orders,Tools vendors,leading,1-2 qtrs,higher = bullish (>1 = orders exceed shipments),quarterly,ratio,"Earnings releases, 8-K Ex.99.1, call transcripts",Agilent,https://www.investor.agilent.com/,free,Orders lead instrument revenue.,curated
TOOLS_A_GUIDE,Agilent full-year organic/core growth guidance (midpoint),Tools vendors,leading,0-3 qtrs,higher = bullish,event (quarterly updates),pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Agilent,https://www.investor.agilent.com/,free,Management's forward view; value_text keeps the guidance history.,curated
TOOLS_A_ORGANIC,Agilent organic/core revenue growth y/y,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Agilent,https://www.investor.agilent.com/,free,Vendor-level demand now; the outcome that leading indicators should anticipate.,curated
TOOLS_A_PHARMA,Agilent pharma & biotech end-market growth,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Agilent,https://www.investor.agilent.com/,free,Vendor-side read on biopharma R&D and QA/QC demand.,curated
TOOLS_BRKR_ACADGOV,Bruker academic & government end-market growth,Tools vendors,coincident,0 (leads the vendor's next guide),higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Bruker,https://ir.bruker.com/,free,Vendor-side read on NIH/NSF-funded demand. Mostly global and often qualitative; see value_text and notes.,curated
TOOLS_BRKR_BOOKINGS,Bruker BSI bookings growth / book-to-bill,Tools vendors,leading,1-2 qtrs,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Bruker,https://ir.bruker.com/,free,"Bruker's high-end research instruments skew academic, so bookings are an early academic capex read.",curated
TOOLS_BRKR_BSI_ORGANIC,Bruker Bruker Scientific Instruments organic growth y/y,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Bruker,https://ir.bruker.com/,free,High-end research instrument revenue.,curated
TOOLS_BRKR_GUIDE,Bruker full-year organic/core growth guidance (midpoint),Tools vendors,leading,0-3 qtrs,higher = bullish,event (quarterly updates),pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Bruker,https://ir.bruker.com/,free,Management's forward view; value_text keeps the guidance history.,curated
TOOLS_BRKR_ORGANIC,Bruker organic/core revenue growth y/y,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Bruker,https://ir.bruker.com/,free,Vendor-level demand now; the outcome that leading indicators should anticipate.,curated
TOOLS_BRKR_ORGANIC_FY,"Bruker organic/core revenue growth, full year",Tools vendors,coincident,0,higher = bullish,annual,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Bruker,https://ir.bruker.com/,free,Annual version.,curated
TOOLS_DHR_BIOPROCESS,Danaher bioprocessing core growth y/y,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Danaher,https://investors.danaher.com/,free,"Downstream of preclinical, but shares customers and budgets.",curated
TOOLS_DHR_BIOPROCESS_ORDERS,Danaher bioprocessing orders growth y/y,Tools vendors,leading,1-3 qtrs,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Danaher,https://investors.danaher.com/,free,Orders lead revenue.,curated
TOOLS_DHR_CORE,Danaher total core revenue growth y/y,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Danaher,https://investors.danaher.com/,free,Company-wide core growth.,curated
TOOLS_DHR_GUIDE,Danaher full-year organic/core growth guidance (midpoint),Tools vendors,leading,0-3 qtrs,higher = bullish,event (quarterly updates),pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Danaher,https://investors.danaher.com/,free,Management's forward view; value_text keeps the guidance history.,curated
TOOLS_DHR_LS_CORE,Danaher Life Sciences segment core growth y/y,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Danaher,https://investors.danaher.com/,free,Research tools segment.,curated
TOOLS_MTD_LAB,Mettler-Toledo laboratory segment organic growth y/y,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Mettler-Toledo,https://investor.mt.com/,free,Lab products and consumables. GAP: not yet collected.,curated
TOOLS_RVTY_ACADGOV,Revvity academic & government end-market growth,Tools vendors,coincident,0 (leads the vendor's next guide),higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Revvity,https://ir.revvity.com/,free,Vendor-side read on NIH/NSF-funded demand. Mostly global and often qualitative; see value_text and notes.,curated
TOOLS_RVTY_GUIDE,Revvity full-year organic/core growth guidance (midpoint),Tools vendors,leading,0-3 qtrs,higher = bullish,event (quarterly updates),pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Revvity,https://ir.revvity.com/,free,Management's forward view; value_text keeps the guidance history.,curated
TOOLS_RVTY_LIFESCI,Revvity Life Sciences segment organic growth y/y,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Revvity,https://ir.revvity.com/,free,Research reagents and instruments.,curated
TOOLS_RVTY_ORGANIC,Revvity organic/core revenue growth y/y,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Revvity,https://ir.revvity.com/,free,Vendor-level demand now; the outcome that leading indicators should anticipate.,curated
TOOLS_RVTY_PHARMA,Revvity pharma & biotech end-market growth,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Revvity,https://ir.revvity.com/,free,Vendor-side read on biopharma R&D and QA/QC demand.,curated
TOOLS_SECTOR_COMMENTARY,Cross-vendor commentary on US academic and biopharma demand,Tools vendors,context,n/a,context,quarterly,text,Earnings releases and calls,Company IR (see rows),https://www.sec.gov/edgar/search/,free,"One-paragraph synthesis per quarter, citing the most informative release.",curated
TOOLS_TECH_ACADGOV,Bio-Techne academic & government end-market growth,Tools vendors,coincident,0 (leads the vendor's next guide),higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Bio-Techne,https://investors.bio-techne.com/,free,Vendor-side read on NIH/NSF-funded demand. Mostly global and often qualitative; see value_text and notes. GAP: not yet collected.,curated
TOOLS_TECH_PHARMA,Bio-Techne pharma & biotech end-market growth,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Bio-Techne,https://investors.bio-techne.com/,free,Vendor-side read on biopharma R&D and QA/QC demand. GAP: not yet collected.,curated
TOOLS_TMO_ACADGOV,Thermo Fisher academic & government end-market growth,Tools vendors,coincident,0 (leads the vendor's next guide),higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Thermo Fisher,https://ir.thermofisher.com/,free,Vendor-side read on NIH/NSF-funded demand. Mostly global and often qualitative; see value_text and notes.,curated
TOOLS_TMO_GUIDE,Thermo Fisher full-year organic/core growth guidance (midpoint),Tools vendors,leading,0-3 qtrs,higher = bullish,event (quarterly updates),pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Thermo Fisher,https://ir.thermofisher.com/,free,Management's forward view; value_text keeps the guidance history.,curated
TOOLS_TMO_ORGANIC,Thermo Fisher organic/core revenue growth y/y,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Thermo Fisher,https://ir.thermofisher.com/,free,Vendor-level demand now; the outcome that leading indicators should anticipate.,curated
TOOLS_TMO_ORGANIC_FY,"Thermo Fisher organic/core revenue growth, full year",Tools vendors,coincident,0,higher = bullish,annual,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Thermo Fisher,https://ir.thermofisher.com/,free,Annual version.,curated
TOOLS_TMO_PHARMA,Thermo Fisher pharma & biotech end-market growth,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Thermo Fisher,https://ir.thermofisher.com/,free,Vendor-side read on biopharma R&D and QA/QC demand.,curated
TOOLS_WAT_ACADGOV,Waters academic & government end-market growth,Tools vendors,coincident,0 (leads the vendor's next guide),higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Waters,https://ir.waters.com/,free,Vendor-side read on NIH/NSF-funded demand. Mostly global and often qualitative; see value_text and notes.,curated
TOOLS_WAT_GUIDE,Waters full-year organic/core growth guidance (midpoint),Tools vendors,leading,0-3 qtrs,higher = bullish,event (quarterly updates),pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Waters,https://ir.waters.com/,free,Management's forward view; value_text keeps the guidance history.,curated
TOOLS_WAT_INSTR,Waters instrument sales growth y/y,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Waters,https://ir.waters.com/,free,Capital-equipment cycle (the most cyclical part of tools spend).,curated
TOOLS_WAT_ORGANIC,Waters organic/core revenue growth y/y,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Waters,https://ir.waters.com/,free,Vendor-level demand now; the outcome that leading indicators should anticipate.,curated
TOOLS_WAT_PHARMA,Waters pharma & biotech end-market growth,Tools vendors,coincident,0,higher = bullish,quarterly,pct,"Earnings releases, 8-K Ex.99.1, call transcripts",Waters,https://ir.waters.com/,free,Vendor-side read on biopharma R&D and QA/QC demand.,curated
MACRO_EMP_PHARMA_MFG,Employment: pharmaceutical & medicine manufacturing (NAICS 3254),Macro & industrial,coincident,0,higher = bullish,monthly,thousands,FRED:CES3232540001,BLS CES via FRED,https://fred.stlouisfed.org/series/CES3232540001,free,Pharma headcount; onshoring shows up here.,auto
MACRO_EMP_SCI_RD,Employment: scientific research & development services (NAICS 5417),Macro & industrial,coincident,0-1 qtr,higher = bullish,monthly,thousands,FRED:CES6054170001,BLS CES via FRED,https://fred.stlouisfed.org/series/CES6054170001,free,Bench headcount at biotechs/CROs/contract labs drives consumables pull-through.,auto
MACRO_FEDFUNDS,Effective federal funds rate,Macro & industrial,leading,2-4 qtrs (inverse),lower = bullish,monthly,pct,FRED:FEDFUNDS,Federal Reserve via FRED,https://fred.stlouisfed.org/series/FEDFUNDS,free,Cost of capital for biotech.,auto
MACRO_INDEED_SCI_RD,Indeed job postings: scientific research & development (US),Macro & industrial,leading,1-3 qtrs,higher = bullish,daily -> monthly mean,index_feb2020=100,FRED:IHLIDXUSTPSCREDE,Indeed Hiring Lab via FRED,https://fred.stlouisfed.org/series/IHLIDXUSTPSCREDE,free,Hiring intent precedes headcount and lab set-up spend.,auto
MACRO_IP_INSTR,"Industrial production: navigational, measuring, electromedical & control instruments (NAICS 3345)",Macro & industrial,coincident,0,higher = bullish,monthly,index_2017=100,FRED:IPG3345S,Federal Reserve G.17 via FRED,https://fred.stlouisfed.org/series/IPG3345S,free,Real US output of the instrument category.,auto
