channel,indicator_id,name,period,period_end,value,unit,value_text,prev_period,prev_value,change_vs_prev,rows_same_period,read_as,source_url
Biotech capital,BIO_XBI_RETURN_YTD,XBI (S&P Biotech ETF) return (FinanceCharts / YCharts / StockAnalysis) [year to date],2026-YTD-Mar,2026-03-05,1.62,pct,YTD daily total return as of 2026-03-05,,,,1,higher = bullish,https://ycharts.com/companies/XBI
Preclinical CRO,CRO_COMMENTARY,"Preclinical CRO demand commentary (proposals, cancellations, client mix)",2026-09-14,2026-09-14,,text,Morgan Stanley conf: DSA showing clearest improvement; RMS mixed; Manufacturing high-margin; 'inflection point' with better financial performance starting 2H26,,,,1,context,https://www.investing.com/news/transcripts/charles-river-laboratories-at-morgan-stanley-conference-growth-inflection-seen-93CH-4899952
Preclinical CRO,CRO_CRL_DSA_BACKLOG,Charles River DSA backlog,2026-Q2,2026-06-30,1.97,USD_bn,,2026-Q1,1.92,0.05,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0001100682/000110068226000115/crl2q26earningsrelease.htm
Preclinical CRO,CRO_CRL_DSA_BTB,Charles River DSA net book-to-bill,2026-Q2,2026-06-30,1.19,ratio,,2026-Q1,1.04,0.15,1,higher = bullish (>1 = backlog growing),https://www.sec.gov/Archives/edgar/data/0001100682/000110068226000115/crl2q26earningsrelease.htm
Preclinical CRO,CRO_CRL_DSA_NET_BOOKINGS,Charles River DSA net bookings,2026-Q2,2026-06-30,701,USD_mn,,2026-Q1,622,79,1,higher = bullish,https://www.fool.com/earnings/call-transcripts/2026/08/12/charles-river-laboratories-crl-q2-2026-earnings-call-transcript/
Preclinical CRO,CRO_CRL_DSA_ORGANIC,Charles River DSA organic revenue growth y/y,2026-Q2,2026-06-30,0.2,pct,,2026-Q1,-1.4,1.6,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0001100682/000110068226000115/crl2q26earningsrelease.htm
Preclinical CRO,CRO_CRL_DSA_ORGANIC_FY,"Charles River DSA organic revenue growth, full year",2025,2025-12-31,-2.6,pct,,,,,1,higher = bullish,https://www.stocksfoundry.com/articles/charles-river-laboratories-guides-to-subdued-2026-as-dsa-recovery-pushes-to-second-half-20260218
Preclinical CRO,CRO_CRL_GUIDANCE,Charles River full-year organic growth guidance,2026,2026-12-31,0.5,pct,Organic revenue growth 0.0% to 1.0% (latest; raised 2026-08-05); DSA raised to low-single-digit organic growth; Manufacturing low-to-mid single digit,,,,3,higher = bullish,https://www.sec.gov/Archives/edgar/data/0001100682/000110068226000115/crl2q26earningsrelease.htm
Preclinical CRO,CRO_CRL_RMS_ORGANIC,Charles River Research Models & Services organic growth y/y,2026-Q2,2026-06-30,-1.4,pct,,2026-Q1,-5.5,4.1,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0001100682/000110068226000115/crl2q26earningsrelease.htm
Preclinical CRO,CRO_CRL_TOTAL_ORGANIC,Charles River total organic revenue growth y/y,2026-Q2,2026-06-30,0.1,pct,,2026-Q1,-1.5,1.6,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0001100682/000110068226000115/crl2q26earningsrelease.htm
Preclinical CRO,CRO_CRL_TOTAL_ORGANIC_FY,"Charles River total organic revenue growth, full year",2025,2025-12-31,-1.6,pct,,,,,1,higher = bullish,https://finance.yahoo.com/news/charles-river-laboratories-international-inc-210640452.html
Tools vendors,TOOLS_A_ACADGOV,Agilent academic & government end-market growth,FY2026-Q3,2026-07-31,-3,pct,Declined 3%; below expectations; China softness and funding shift toward defense; low-single-digit growth excluding China; 'muted but stabilizing research funding environment',FY2026-Q2,-5,2,1,higher = bullish,https://www.investing.com/news/transcripts/earnings-call-transcript-agilent-tops-q3-2026-estimates-lifts-outlook-93CH-4878009
Tools vendors,TOOLS_A_BTB,Agilent instrument book-to-bill / orders,FY2026-Q3,2026-07-31,,ratio,Book-to-bill above 1; 10th consecutive quarter instrument orders met or exceeded revenue; LC/GC replacement cycle runway,,,,1,higher = bullish (>1 = orders exceed shipments),https://finance.yahoo.com/markets/stocks/articles/agilent-technologies-q3-earnings-call-230418624.html
Tools vendors,TOOLS_A_GUIDE,Agilent full-year organic/core growth guidance (midpoint),FY2026,2026-10-31,5.9,pct,Core growth 5.8%-6.0% (revenue $7.49-7.51bn); raised 2026-08-26 with Q3 (+65bp at midpoint). Initial 4%-6% core (2025-11-24),,,,1,higher = bullish,https://finance.yahoo.com/markets/stocks/articles/agilent-technologies-q3-earnings-call-230418624.html
Tools vendors,TOOLS_A_ORGANIC,Agilent organic/core revenue growth y/y,FY2026-Q3,2026-07-31,7.3,pct,Revenue $1.88bn; +8.1% reported; +7.3% core; beat high end of guide by 140bp,FY2026-Q2,6.3,1,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0001090872/000109087226000062/exhibit991-q326pressrelease.htm
Tools vendors,TOOLS_A_PHARMA,Agilent pharma & biotech end-market growth,FY2026-Q3,2026-07-31,12,pct,Pharma +12%; biotech double digits; small molecule mid-single digits; GLP-1 >70% y/y; advanced therapeutics +30%,FY2026-Q2,6,6,1,higher = bullish,https://www.investing.com/news/transcripts/earnings-call-transcript-agilent-tops-q3-2026-estimates-lifts-outlook-93CH-4878009
Tools vendors,TOOLS_BRKR_ACADGOV,Bruker academic & government end-market growth,2026-Q2,2026-06-30,,text,US academic demand remained soft in Q2; academic/government bookings in Europe and China up strongly,,,,1,higher = bullish,https://finance.yahoo.com/markets/stocks/articles/bruker-reports-second-quarter-2026-152340365.html
Tools vendors,TOOLS_BRKR_BOOKINGS,Bruker BSI bookings growth / book-to-bill,2026-Q2,2026-06-30,10,pct,BSI bookings +10% organically y/y; BSI book-to-bill >1.0x,,,,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0001109354/000119312526331511/brkr-ex99_1.htm
Tools vendors,TOOLS_BRKR_BSI_ORGANIC,Bruker Bruker Scientific Instruments organic growth y/y,2026-Q2,2026-06-30,2.3,pct,BSI revenue $767.3M; +4.7% reported; +2.3% organic,2026-Q1,-5.0,7.3,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0001109354/000119312526331511/brkr-ex99_1.htm
Tools vendors,TOOLS_BRKR_GUIDE,Bruker full-year organic/core growth guidance (midpoint),FY2026,2026-12-31,1.5,pct,Organic +1% to +2% (revenue $3.54-3.57bn; +3-4% reported); held at 2026-08-04. Prelim 2026-01-12 'flat to low-single-digit'; formal 1-2% Feb 2026,,,,1,higher = bullish,https://finance.yahoo.com/markets/stocks/articles/bruker-reports-second-quarter-2026-152340365.html
Tools vendors,TOOLS_BRKR_ORGANIC,Bruker organic/core revenue growth y/y,2026-Q2,2026-06-30,2.8,pct,Revenue $838.5M; +5.2% reported; +2.8% organic (+3.4% ex tariff refunds),2025-Q2,-7,9.8,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0001109354/000119312526331511/brkr-ex99_1.htm
Tools vendors,TOOLS_BRKR_ORGANIC_FY,"Bruker organic/core revenue growth, full year",FY2025,2025-12-31,-3.7,pct,FY2025 revenue +2.1% to $3.44bn; organic -3.7%,,,,1,higher = bullish,https://www.fool.com/earnings/call-transcripts/2026/02/12/bruker-brkr-q4-2025-earnings-call-transcript/
Tools vendors,TOOLS_DHR_BIOPROCESS,Danaher bioprocessing core growth y/y,2026-Q2,2026-06-30,,pct,Bioprocessing core growth low single digits; a few large commercial customers pushed >$100M of chromatography resin shipments from Q2/Q3 into 2027,,,,1,higher = bullish,https://finance.biggo.com/news/US_DHR_2026-07-21
Tools vendors,TOOLS_DHR_BIOPROCESS_ORDERS,Danaher bioprocessing orders growth y/y,2026-Q2,2026-06-30,,pct,Bioprocessing orders grew mid-teens; underlying order trends strong,,,,1,higher = bullish,https://investors.danaher.com/2026-07-21-Danaher-Reports-Second-Quarter-2026-Results
Tools vendors,TOOLS_DHR_CORE,Danaher total core revenue growth y/y,2026-Q2,2026-06-30,3,pct,Total core revenue +3% (+4.5% ex respiratory; +150bp vs Q1); sales +5.5% to $6.3bn,,,,1,higher = bullish,https://investors.danaher.com/2026-07-21-Danaher-Reports-Second-Quarter-2026-Results
Tools vendors,TOOLS_DHR_GUIDE,Danaher full-year organic/core growth guidance (midpoint),FY2026,2026-12-31,3.5,pct,Non-GAAP core revenue +3.0% to +4.0%; stated 2026-07-21 with Q2 results (adj EPS raised to $8.45-8.60),,,,1,higher = bullish,https://investors.danaher.com/2026-07-21-Danaher-Reports-Second-Quarter-2026-Results
Tools vendors,TOOLS_DHR_LS_CORE,Danaher Life Sciences segment core growth y/y,2026-Q2,2026-06-30,5.5,pct,Life Sciences core revenue +5.5%; strongest LS quarter in several years,,,,1,higher = bullish,https://investors.danaher.com/2026-07-21-Danaher-Reports-Second-Quarter-2026-Results
Tools vendors,TOOLS_RVTY_ACADGOV,Revvity academic & government end-market growth,2026-Q2,2026-07-05,,text,A&G demand improved including positive U.S. growth for the first time since mid-2023,,,,1,higher = bullish,https://www.investing.com/news/transcripts/earnings-call-transcript-revvity-beats-q2-2026-estimates-but-shares-fall-premarket-93CH-4834324
Tools vendors,TOOLS_RVTY_GUIDE,Revvity full-year organic/core growth guidance (midpoint),FY2026,2026-12-31,4.5,pct,Organic 4%-5% (adj EPS $5.30-5.40); raised with Q2 2026 results. History: 2%-3% (2026-02-02); 3%-4% (Q1 2026 update),,,,1,higher = bullish,https://finance.yahoo.com/healthcare/articles/revvity-inc-rvty-q2-2026-190323257.html
Tools vendors,TOOLS_RVTY_LIFESCI,Revvity Life Sciences segment organic growth y/y,2026-Q2,2026-07-05,-3,pct,Life Sciences $359M; pro forma -2%; pro forma organic -3%,2025-Q4,0,-3,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0000031791/000003179126000022/q22026pressrelease.htm
Tools vendors,TOOLS_RVTY_ORGANIC,Revvity organic/core revenue growth y/y,2026-Q2,2026-07-05,3,pct,Pro forma revenue $711M; +4% pro forma; +3% pro forma organic (above guide),2026-Q1,6,-3,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0000031791/000003179126000022/q22026pressrelease.htm
Tools vendors,TOOLS_RVTY_PHARMA,Revvity pharma & biotech end-market growth,2026-Q2,2026-07-05,,text,Third consecutive quarter of improving conditions across pharma and biotech end markets,,,,1,higher = bullish,https://finance.yahoo.com/healthcare/articles/revvity-inc-rvty-q2-2026-190323257.html
Tools vendors,TOOLS_SECTOR_COMMENTARY,Cross-vendor commentary on US academic and biopharma demand,2026-Q2,2026-06-30,,text,A&G turning up but US uneven: TMO A&G +LSD (first positive); Revvity US A&G positive first time since mid-2023; Waters A&G +LDD; but Bruker US academic still soft and Agilent A&G -3% (May-Jul; defense funding shift). Orders strong: Bruker BSI bookings +10%; DHR bioprocess orders +mid-teens; Agilent book-to-bill >1 for 10th qtr. Pharma: Agilent +12%; Waters +LDD; TMO +MSD; guides raised at TMO/A/WAT/RVTY,,,,1,context,https://www.sec.gov/Archives/edgar/data/0000097745/000009774526000138/q22026earnings8kex99_1.htm
Tools vendors,TOOLS_TMO_ACADGOV,Thermo Fisher academic & government end-market growth,2026-Q2,2026-06-27,,pct,Grew low single digits; driven by chromatography and mass spectrometry / demand for high-end instruments,,,,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0000097745/000009774526000138/q22026earnings8kex99_1.htm
Tools vendors,TOOLS_TMO_GUIDE,Thermo Fisher full-year organic/core growth guidance (midpoint),FY2026,2026-12-31,4,pct,~4% organic (upper end of 3-4% range); raised with Q2 results 2026-07-23. History: 3-4% initial (2026-01-29); ~3.5% midpoint after Q1 (Apr 2026),,,,1,higher = bullish,https://finance.yahoo.com/markets/stocks/articles/thermo-fisher-raises-2026-outlook-153700819.html
Tools vendors,TOOLS_TMO_ORGANIC,Thermo Fisher organic/core revenue growth y/y,2026-Q2,2026-06-27,5,pct,Revenue +10% to $11.99bn; organic +5%,2026-Q1,1,4,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0000097745/000009774526000138/q22026earnings8kex99_1.htm
Tools vendors,TOOLS_TMO_ORGANIC_FY,"Thermo Fisher organic/core revenue growth, full year",FY2025,2025-12-31,2,pct,FY2025 revenue +4% to $44.56bn; organic +2%,,,,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/97745/000009774526000012/q42025earnings8kex99_1.htm
Tools vendors,TOOLS_TMO_PHARMA,Thermo Fisher pharma & biotech end-market growth,2026-Q2,2026-06-27,,pct,Mid-single-digit growth,,,,1,higher = bullish,https://finance.yahoo.com/markets/stocks/articles/thermo-fisher-scientific-q2-earnings-020526199.html
Tools vendors,TOOLS_WAT_ACADGOV,Waters academic & government end-market growth,2026-Q2,2026-06-30,,pct,Low-double-digit growth in A&G (ASD; cc); previously lagging customer segments returning to growth,2026-Q1,18,,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0001000697/000119312526331413/d163377dex991.htm
Tools vendors,TOOLS_WAT_GUIDE,Waters full-year organic/core growth guidance (midpoint),FY2026,2026-12-31,8,pct,Organic cc growth 7%-9%; raised 2026-08-04. History: 5.5%-7% standalone (2026-02-09); 6.5%-8.0% (2026-05-05),,,,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0001000697/000119312526331413/d163377dex991.htm
Tools vendors,TOOLS_WAT_INSTR,Waters instrument sales growth y/y,2026-Q2,2026-06-30,8,pct,ASD instrument growth 8%; chemistry consumables double digits,2025-Q4,3,5,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0001000697/000119312526331413/d163377dex991.htm
Tools vendors,TOOLS_WAT_ORGANIC,Waters organic/core revenue growth y/y,2026-Q2,2026-06-30,9,pct,Organic revenue $828M; +9% cc; plus $817M acquired BD businesses; total $1.645bn,2026-Q1,11,-2,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0001000697/000119312526331413/d163377dex991.htm
Tools vendors,TOOLS_WAT_PHARMA,Waters pharma & biotech end-market growth,2026-Q2,2026-06-30,,pct,Low-double-digit growth in Pharma (ASD; cc),2026-Q1,14,,1,higher = bullish,https://www.sec.gov/Archives/edgar/data/0001000697/000119312526331413/d163377dex991.htm
